L4 | Tue Feb 16 16:37:22 2021 (695 ms) | general | New game starting up
L4 | Tue Feb 16 16:37:22 2021 (695 ms) | general | Target game image size:  1280x720

L4 | Tue Feb 16 16:37:22 2021 (696 ms) | general | Ideal window dimensions:  1280x720

L4 | Tue Feb 16 16:37:22 2021 (696 ms) | general | Trying to start in window mode.
L4 | Tue Feb 16 16:37:22 2021 (697 ms) | general | Want to use largest window that fits on screen.
L4 | Tue Feb 16 16:37:22 2021 (697 ms) | general | Screen dimensions for largest-window mode:  1612x907

L4 | Tue Feb 16 16:37:22 2021 (711 ms) | general | The following frame rates are considered possible:
L4 | Tue Feb 16 16:37:22 2021 (711 ms) | general | 30 fps
L4 | Tue Feb 16 16:37:22 2021 (711 ms) | general | 60 fps
L4 | Tue Feb 16 16:37:22 2021 (737 ms) | general | 100 fps
L4 | Tue Feb 16 16:37:22 2021 (737 ms) | general | 120 fps
L4 | Tue Feb 16 16:37:22 2021 (737 ms) | general | 144 fps
L4 | Tue Feb 16 16:37:22 2021 (764 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Tue Feb 16 16:37:22 2021 (764 ms) | general | All resolutions available
L4 | Tue Feb 16 16:37:23 2021 (34 ms) | general | Successfully faked opening of audio for recording to file: 44100Hz

L1 | Tue Feb 16 16:37:23 2021 (34 ms) | general | CRITICAL ERROR:  TGA file graphics\font_32_64.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (36 ms) | general | CRITICAL ERROR:  TGA file graphics\instructions.tga does not exist
L4 | Tue Feb 16 16:37:23 2021 (39 ms) | general | OneLife client v256 (binV=256, dataV=0) starting up
L1 | Tue Feb 16 16:37:23 2021 (39 ms) | general | CRITICAL ERROR:  TGA file graphics\font_32_64.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (39 ms) | general | CRITICAL ERROR:  TGA file graphics\font_32_64.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (39 ms) | general | CRITICAL ERROR:  TGA file graphics\font_32_64.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (39 ms) | general | CRITICAL ERROR:  TGA file graphics\font_32_64.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (39 ms) | general | CRITICAL ERROR:  TGA file graphics\font_handwriting_32_32.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (39 ms) | general | CRITICAL ERROR:  TGA file graphics\font_handwriting_32_32.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (39 ms) | general | CRITICAL ERROR:  TGA file graphics\font_pencil_32_32.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (39 ms) | general | CRITICAL ERROR:  TGA file graphics\font_pencil_erased_32_32.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (41 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (41 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (41 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (41 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (41 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (41 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (41 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (41 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (41 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (41 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (41 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (42 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (42 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (42 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (42 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
